"A","AAAA","A__ip_address","A__country_code","A__asn_date","A__reg_timestamp","A__last_updated","AAAA__ip_address","AAAA__country_code","AAAA__asn_date","AAAA__reg_timestamp","AAAA__last_updated","MX","NS","SOA","MX__001","MX__002","MX__003","MX__004","MX__005","MX__006","MX__007","NS__001","NS__002","NS__003","NS__004","NS__005","NS__006","NS__007","NS__008","NS__009","NS__010","NS__011","NS__012","NS__013","SOA__-","CNAME","TXT","TXT__001","TXT__002","TXT__003","TXT__004","TXT__005","TXT__006","TXT__007","TXT__008","TXT__009","TXT__010","TXT__011","TXT__012","TXT__013","TXT__014","TXT__015","TXT__016","TXT__017","TXT__018","SRV","PTR","domain_name"
"","null","104.244.42.129","US","2014-12-08","2020-06-28T13:48:15-04:00","2014-12-08T18:42:54-05:00","","","","","","","","","10 mxa-008d0a01.gslb.pphosted.com.","10 mxb-008d0a01.gslb.pphosted.com.","","","","","","b.r06.twtrdns.net.","a.r06.twtrdns.net.","c.r06.twtrdns.net.","d.r06.twtrdns.net.","a.u06.twtrdns.net.","b.u06.twtrdns.net.","c.u06.twtrdns.net.","d.u06.twtrdns.net.","","","","","","a.u06.twtrdns.net. noc.twitter.com. 2023120801 3600 600 604800 600","null","","""0a8c0fc6-bfa5-4ea7-b09b-87f2989022d6""","""wrike-verification=MjU4MTA5MjoyN2UzNDc1MjU3MDZiZTY4NjBiNzliNDQ2OTUwNWY3NmM5NDgyMTBlYzFkNTcwYTE2YWNmZDdkNTY2ZmE4Yzlh""","""miro-verification=6e1ca9ad6d0c2cd2e4186141265f23ed618cfe37""","""mixpanel-domain-verify=164dda91-31f4-41e8-a816-0f59b38fea30""","""loom-site-verification=638c6bc173b9458997f64d305bf42499""","""atlassian-domain-verification=j6u0o1PTkobCXC84uEF/sWpIPtaZURBVYqKzmTvT8wugLcHT1vvrzzA63iP1qSLN""","""traction-guest=6882b04e-4188-4ff9-8bb4-bff5a3d358e6""","""adobe-idp-site-verification=a2ff8fc40c434d1d6f02f68b0b1a683e400572ab8c1f2c180c71c3d985b9270a""","""google-site-verification=TNhAkfLUeIbzzzSgPNxS5aEkKMf3aUcpPmCK1_kmIvU""","""v=spf1 ip4:199.16.156.0/22 ip4:199.59.148.0/22 ip4:8.25.194.0/23 ip4:8.25.196.0/23 ip4:204.92.114.203 ip4:204.92.114.204/31 include:_spf.google.com include:_thirdparty.twitter.com include:_oerp.twitter.com include:spf.smtp2go.com -all""","""google-site-verification=h6dJIv0HXjLOkGAotLAWEzvoi9SxqP4vjpx98vrCvvQ""","""bj6sbt5xqs9hw9jrfvz7hplrg0l680sb""","""traction-guest=a4d0248d-fe01-4222-8fcc-33f68323e667""","""google-site-verification=600dQ0pZYsH2xOFt4hYmf5f5NpjCbWE_qk5Y04dErYM""","""apple-domain-verification=zd1iHoEO9LILEQIq""","""canva-site-verification=lMnZ3wMh7c1uqZqa-cxZTg""","""MS=BEE202D20C326867290BDEFA2DDDF4594B5D6860""","","null","null","twitter.com"
"","","104.244.42.1","US","2014-12-08","2020-06-28T13:48:15-04:00","2014-12-08T18:42:54-05:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","104.244.42.65","US","2014-12-08","2020-06-28T13:48:15-04:00","2014-12-08T18:42:54-05:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","104.244.42.193","US","2014-12-08","2020-06-28T13:48:15-04:00","2014-12-08T18:42:54-05:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","165.193.78.252","US","1993-12-21","2009-07-22T06:15:05-04:00","2009-07-22T06:15:05-04:00","","","","","","","","","10 d160958a.ess.barracudanetworks.com.","20 d160958b.ess.barracudanetworks.com.","","","","","","ns-106.awsdns-13.com.","ns-1323.awsdns-37.org.","ns-1779.awsdns-30.co.uk.","ns-905.awsdns-49.net.","","","","","","","","","","ns-905.awsdns-49.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400","null","","""MS=ms77850526""","""v=spf1 ip4:64.209.233.0/29 ip4:64.210.228.48/29 ip4:64.209.224.96/27 ip4:63.210.103.80/29 ip4:66.119.41.0/25 ip4:66.119.33.192/27 ip4:216.109.78.232/29 include:msgfocus.com -all""","","","","","","","","","","","","","","","","","null","null","scorecardresearch.com"
"","","20.112.250.133","US","2017-10-18","2021-12-14T20:28:38-05:00","2017-10-18T13:17:25-04:00","2603:1030:b:3::152","US","2014-06-05","2014-06-05T15:12:30-04:00","2014-06-05T15:12:30-04:00","","","","10 microsoft-com.mail.protection.outlook.com.","","","","","","","ns1-39.azure-dns.com.","ns2-39.azure-dns.net.","ns3-39.azure-dns.org.","ns4-39.azure-dns.info.","","","","","","","","","","ns1-39.azure-dns.com. azuredns-hostmaster.microsoft.com. 1 3600 300 2419200 300","null","","""docusign=d5a3737c-c23c-4bd0-9095-d2ff621f2840""","""google-site-verification=GfDnTUdATPsK1230J0mXbfsYw-3A9BVMVaKSd4DcKgI""","""google-site-verification=uFg3wr5PWsK8lV029RoXXBBUW0_E6qf1WEWVHhetkOY""","""fg2t0gov9424p2tdcuo94goe9j""","""atlassian-domain-verification=xvoaqRfxSg3PnlVnR4xCSOlKyw1Aln0MMxRiKXnwWroFG7vI76TUC8xYb03MwMXv""","""d365mktkey=QDa792dLCZhvaAOOCe2Hz6WTzmTssOp1snABhxWibhMx""","""facebook-domain-verification=fwzwhbbzwmg5fzgotc2go51olc3566""","""d365mktkey=j2qHWq9BHdaa3ZXZH8x64daJZxEWsFa0dxDeilxDoYYx""","""t7sebee51jrj7vm932k531hipa""","""google-site-verification=M--CVfn_YwsV-2FGbCp_HFaEj23BmT0cTF4l8hXgpvM""","""d365mktkey=3uc1cf82cpv750lzk70v9bvf2""","""google-site-verification=pjPOauSPcrfXOZS9jnPPa5axowcHGCDAl1_86dCqFpk""","""d365mktkey=6358r1b7e13hox60tl1uagv14""","""d365mktkey=SxDf1EZxLvMwx6eEZUxzjFFgHoapF8DvtWEUjwq7ZTwx""","""v=spf1 include:_spf-a.microsoft.com include:_spf-b.microsoft.com include:_spf-c.microsoft.com include:_spf-ssg-a.msft.net include:spf-a.hotmail.com include:_spf1-meo.microsoft.com -all""","""hubspot-developer-verification=OTQ5NGIwYWEtODNmZi00YWE1LTkyNmQtNDhjMDMxY2JjNDAx""","","","null","null","microsoft.com"
"","","20.231.239.246","US","2017-10-18","2021-12-14T20:28:49-05:00","2017-10-18T13:17:26-04:00","2603:1030:20e:3::23c","US","2014-06-05","2014-06-05T15:12:30-04:00","2014-06-05T15:12:30-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20.76.201.171","US","2017-10-18","2021-12-14T20:28:38-05:00","2017-10-18T13:17:25-04:00","2603:1030:c02:8::14","US","2014-06-05","2014-06-05T15:12:30-04:00","2014-06-05T15:12:30-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20.70.246.20","US","2017-10-18","2021-12-14T20:28:38-05:00","2017-10-18T13:17:25-04:00","2603:1020:201:10::10f","US","2014-06-05","2014-06-05T15:12:30-04:00","2014-06-05T15:12:30-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20.236.44.162","US","2017-10-18","2021-12-14T20:28:49-05:00","2017-10-18T13:17:26-04:00","2603:1010:3:3::5b","US","2014-06-05","2014-06-05T15:12:30-04:00","2014-06-05T15:12:30-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
