A,AAAA,A__ip_address,A__country_code,A__asn_date,A__reg_timestamp,A__last_updated,AAAA__ip_address,AAAA__country_code,AAAA__asn_date,AAAA__reg_timestamp,AAAA__last_updated,MX,NS,SOA,MX__001,MX__002,MX__003,MX__004,MX__005,MX__006,MX__007,MX__008,NS__001,NS__002,NS__003,NS__004,NS__005,NS__006,NS__007,NS__008,NS__009,NS__010,NS__011,NS__012,NS__013,NS__014,NS__015,SOA__-,CNAME,TXT,TXT__001,TXT__002,TXT__003,TXT__004,TXT__005,TXT__006,TXT__007,TXT__008,TXT__009,TXT__010,TXT__011,TXT__012,TXT__013,TXT__014,TXT__015,TXT__016,TXT__017,TXT__018,TXT__019,TXT__020,TXT__021,SRV,PTR,domain_name
,,89.117.188.39,LT,2006-05-03,2021-02-09T08:47:25Z,2022-12-19T12:50:24Z,2a02:4780:11:1045:0:124d:8976:9,CY,2011-07-13,2021-11-15T14:59:52Z,2022-12-06T11:22:35Z,,,,10 mx2.hostinger.com.,5 mx1.hostinger.com.,,,,,,,ns2.dns-parking.com.,ns1.dns-parking.com.,,,,,,,,,,,,,,ns1.dns-parking.com. dns.hostinger.com. 2023120701 10000 2400 604800 600,,,"""v=spf1 include:_spf.mail.hostinger.com ~all""",,,,,,,,,,,,,,,,,,,,,,,hip-games.com
,,15.197.142.173,US,2021-01-28,2022-04-26T10:06:24-04:00,2021-01-28T14:18:31-05:00,,,,,,,,,,,,,,,,,ns13.domaincontrol.com.,ns14.domaincontrol.com.,,,,,,,,,,,,,,ns13.domaincontrol.com. dns.jomax.net. 2023120801 28800 7200 604800 600,,,,,,,,,,,,,,,,,,,,,,,,,,thq.com.au
,,13.248.169.48,US,2018-07-11,2021-02-10T09:46:03-05:00,2018-07-11T07:40:00-04:00,,,,,,,,,0 .,,,,,,,,ns5.afternic.com.,ns6.afternic.com.,,,,,,,,,,,,,,ns5.afternic.com. dns.jomax.net. 2023042600 28800 7200 604800 300,,,"""v=spf1 -all""",,,,,,,,,,,,,,,,,,,,,,,gp32.com
,,38.11.41.59,US,1991-04-16,2023-07-31T22:09:52-04:00,2023-07-31T22:09:52-04:00,,,,,,,,,,,,,,,,,ns1.gname.net.,ns2.gname.net.,,,,,,,,,,,,,,ns1.gname.net. admin.gname.net. 1701546242 7200 3600 1209600 1800,,,,,,,,,,,,,,,,,,,,,,,,,,kidnkid.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b-shooter.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100-9.com
,,172.67.177.164,US,2015-02-25,2021-05-26T18:01:44-04:00,2015-02-25T20:57:09-05:00,2606:4700:3035::ac43:b1a4,US,2011-11-01,2017-02-17T18:07:51-05:00,2011-11-01T15:59:58-04:00,,,,,,,,,,,,iris.ns.cloudflare.com.,vern.ns.cloudflare.com.,,,,,,,,,,,,,,iris.ns.cloudflare.com. dns.cloudflare.com. 2325337993 10000 2400 604800 1800,,,,,,,,,,,,,,,,,,,,,,,,,,cuttherope.ie
,,172.98.192.35,US,2015-06-17,2018-03-10T00:38:47-05:00,2018-03-10T00:38:47-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oldgames.4all.cc
,,3.33.130.190,US,2017-12-20,2022-05-18T11:28:18-04:00,2017-12-20T15:57:53-05:00,,,,,,,,,,,,,,,,,ns11.domaincontrol.com.,ns12.domaincontrol.com.,,,,,,,,,,,,,,ns11.domaincontrol.com. dns.jomax.net. 2023091900 28800 7200 604800 600,,,,,,,,,,,,,,,,,,,,,,,,,,cloudyvideogame.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marsshooter.org
,,13.248.169.48,US,2018-07-11,2021-02-10T09:46:03-05:00,2018-07-11T07:40:00-04:00,,,,,,,,,0 .,,,,,,,,ns5.afternic.com.,ns6.afternic.com.,,,,,,,,,,,,,,ns5.afternic.com. dns.jomax.net. 2023042600 28800 7200 604800 300,,,"""v=spf1 -all""",,,,,,,,,,,,,,,,,,,,,,,fortevr.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tplinklogin.net
,,192.157.56.140,CA,2012-10-22,2020-10-14T11:17:34-04:00,2012-10-22T17:32:41-04:00,,,,,,,,,,,,,,,,,ns1.magpiedns.com.,ns2.magpiedns.com.,,,,,,,,,,,,,,ns1.koaladns.com. admin.tplinkextender.net. 2023112106 86400 10800 604800 300,,,,,,,,,,,,,,,,,,,,,,,,,,tplinkextender.net
,,45.33.23.183,US,2015-03-20,2023-09-18T10:35:02-04:00,2022-12-21T10:16:01-05:00,,,,,,,,,1 mail.mailerhost.net.,,,,,,,,ns1.mytrafficmanagement.com.,ns2.mytrafficmanagement.com.,,,,,,,,,,,,,,ns1.mytrafficmanagement.com. admin.giantpanda.com. 2013020401 10800 3600 604800 3600,,,"""v=spf1 ip6:fd43:c0d1:c090::/48 -all""",,,,,,,,,,,,,,,,,,,,,,,dreamlinux.net
